"file","key","column","repo","crowdin","action"
"genres.csv","Definition of genre 'Drama' | A planned, creative, rendition of discourse involving two or more participants.","zh-CN","由两名或两名以上参与者参与计划的创意话语演绎。","一个由两个或更多参与者共同进行的、有计划且富有创意的言语表达。","took crowdin"
"genres.csv","Example of genre 'Drama' | Play","ru","Играть","Игра","took crowdin"
"genres.csv","Example of genre 'Drama' | Play","zh-CN","表演","游戏","took crowdin"
"genres.csv","Example of genre 'Drama' | Enacted Scene","zh-CN","上演的场景","既定场景","took crowdin"
"genres.csv","Definition of genre 'Formulaic Discourse' | A ritually or conventionally structured discourse.","zh-CN","以宗教或传统方式进行的话语。","宗教或传统用语。","took crowdin"
"genres.csv","Example of genre 'Formulaic Discourse' | Charm","zh-CN","护符","咒语","took crowdin"
"genres.csv","Example of genre 'Formulaic Discourse' | Marriage Vows","zh-CN","婚姻誓言","结婚誓言","took crowdin"
"genres.csv","Genre which is: Linguistic communication between two or more participants. | Interactive Discourse","ru","Интерактивные дискуссии","Интерактивная речь","took crowdin"
"genres.csv","Example of genre 'Interactive Discourse' | Interview","zh-CN","面谈","访谈","took crowdin"
"genres.csv","Example of genre 'Interactive Discourse' | Correspondence","zh-CN","一致性","通信","took crowdin"
"genres.csv","Example of genre 'Interactive Discourse' | Leave-Takings","zh-CN","休假","告别","took crowdin"
"genres.csv","Genre which is: A language whose primary function is to be part of play, or a style of speech that involves a creative manipulation of the structures of the language. | Language Play","ru","Языковые игры","Языковая игра","took crowdin"
"genres.csv","Genre which is: A language whose primary function is to be part of play, or a style of speech that involves a creative manipulation of the structures of the language. | Language Play","zh-CN","语言戏剧","语言游戏","took crowdin"
"genres.csv","Definition of genre 'Language Play' | A language whose primary function is to be part of play, or a style of speech that involves a creative manipulation of the structures of the language.","zh-CN","一种以戏剧为主要功能的语言，或一种对语言结构进行创意更改的语言风格。","主要功能为游戏的语言表达，或一种对语言结构进行创意变换的言语风格。","took crowdin"
"genres.csv","Example of genre 'Language Play' | Verbal Art","zh-CN","语言艺术","口头艺术","took crowdin"
"genres.csv","Example of genre 'Language Play' | Secret Language","zh-CN","秘密语言","秘密用语","took crowdin"
"genres.csv","Example of genre 'Language Play' | Speech Disguise","zh-CN","语音伪装","言语伪装","took crowdin"
"genres.csv","Genre which is: Public speaking, or speaking eloquently according to rules or conventions. | Oratory","ru","Оратория","Публичное выступление","took crowdin"
"genres.csv","Definition of genre 'Oratory' | Public speaking, or speaking eloquently according to rules or conventions.","zh-CN","公共演讲，或按照规则或惯例雄辩地发言。","公共演讲，或按照规则或惯例的慷慨发言。","took crowdin"
"genres.csv","Example of genre 'Oratory' | Sermon","zh-CN","宗教讲道","讲道","took crowdin"
"genres.csv","Example of genre 'Oratory' | Lecture","zh-CN","演讲","报告","took crowdin"
"genres.csv","Genre which is: A monologic discourse which represents temporally organized events. | Narrative","ru","Повествование","Рассказ, нарратив","took crowdin"
"genres.csv","Definition of genre 'Narrative' | A monologic discourse which represents temporally organized events.","zh-CN","一种表示临时组织活动的单一话语。","按事件的时间顺序临时组织的独白式话语。","took crowdin"
"genres.csv","Example of genre 'Narrative' | Historical","zh-CN","历史性","史诗","took crowdin"
"genres.csv","Genre which is: An explanation or description of a method, process, or situation having ordered steps. | Procedural Discourse","zh-CN","程序性话语","程序式话语","took crowdin"
"genres.csv","Definition of genre 'Procedural Discourse' | An explanation or description of a method, process, or situation having ordered steps.","zh-CN","对方法、过程或情况的解释或描述，具有顺序步骤。","对方法、过程或有顺序步骤的情况的解释或描述。","took crowdin"
"genres.csv","Genre which is: A factual account of some event or circumstance. | Report","ru","Отчет","Отчет о случившемся","took crowdin"
"genres.csv","Genre which is: A factual account of some event or circumstance. | Report","zh-CN","报告","汇报","took crowdin"
"genres.csv","Example of genre 'Report' | Essay","zh-CN","论文","文章","took crowdin"
"genres.csv","Definition of genre 'Singing' | Words or sounds articulated in succession with musical inflections or modulations of the voice.","zh-CN","连续发音的词或声，伴有音乐的转折或声音的变调。","依次发出的带有音乐韵律或声调变化的词语或声音。","took crowdin"
"genres.csv","Example of genre 'Singing' | Chorus","zh-CN","副歌","合唱","took crowdin"
"genres.csv","Genre which is: Utterances that are not intended to be interpretable as ordinary language. | Unintelligible Speech","ru","Неразборчивая речь","Высказывания, для которых не предполагается что они могут быть поняты","took crowdin"
"genres.csv","Definition of genre 'Unintelligible Speech' | Utterances that are not intended to be interpretable as ordinary language.","zh-CN","无意被解释为普通语言的言语。","刻意不想被普通语言所解读的言语表达。","took crowdin"
"genres.csv","Example of genre 'Unintelligible Speech' | Glossolalia","zh-CN","舌语","灵语","took crowdin"
"genres.csv","Elicitation | Elicitation","zh-CN","征求意见","引导","took crowdin"
"genres.csv","Academic Output | Academic Output","zh-CN","学术输出","学术产出","took crowdin"
"genres.csv","Consent | Consent","zh-CN","同意","知情同意","took crowdin"
"genres.csv","Dialog | Dialog","zh-CN","对话框","对话","took crowdin"
