"ID","Context","en","es","fr","ru","zh-CN","pt-BR","id","fa"
"AILCA","Access Protocol Name","AILCA","AILCA","AILCA","","Ibi Ìlò","AILCA - Arquivo de Línguas e Culturas Indígenas da Ásia","AILCA","دسترسی برای همه آزاد است"
"AILCA.F","AILCA choice","F","el acceso es libre para todos","L","доступ свободен для всех","F","o acesso é Livre para todos","F","دسترسی برای همه آزاد است"
"AILCA.F.Description","Description of AILCA choice 'F'","access is Free to all","el acceso es libre para todos","accès libre à tous","доступ свободен для всех","自由访问","o acesso é Livre para todos","akses terbuka untuk semua","دسترسی برای همه آزاد است"
"AILCA.U","AILCA choice","U","todos los Usuarios pueden acceder (requiere inscripción)","U","все пользователи могут получить доступ (требуется регистрация)","U","todos os Usuários podem acessar (mediante inscrição)","U","تمامی کاربران قادر به دسترسی هستند (ثبت نام الزامی است)"
"AILCA.U.Description","Description of AILCA choice 'U'","all Users can access (requires registration)","todos los Usuarios pueden acceder (requiere inscripción)","tous les Utilisateurs peuvent accéder (exige une inscription)","все пользователи могут получить доступ (требуется регистрация)","所有用户可以访问（需注册）","todos os Usuários podem acessar (mediante inscrição)","semua pengguna dapat akses (pendaftaran wajib)","تمامی کاربران قادر به دسترسی هستند (ثبت نام الزامی است)"
"AILCA.RC","AILCA choice","RC","Los investigadores y los miebros de la comunidad pueden acceder","Les chercheurs et les membres de la communauté sont autorisés à accéder"," Доступ разрешен исследователям и членам общественности","RC","Pesquisadores e membros da Comunidade podem acessar","RC","پژوهشگران و اعضای جامعه (مورد نظر) اجازه دسترسی دارند"
"AILCA.RC.Description","Description of AILCA choice 'RC'","Researchers and Community members are allowed access","Los investigadores y los miebros de la comunidad pueden acceder","Les Chercheurs et les membres de la Communauté sont autorisés à accéder"," Доступ разрешен исследователям и членам общественности","研究者和社区成员可以访问","Pesquisadores e membros da Comunidade podem acessar","Para peneliti dan anggota masyarakat bahasanya diperbolehkan akses","پژوهشگران و اعضای جامعه (مورد نظر) اجازه دسترسی دارند"
"AILCA.C","AILCA choice","C","solo los Miebros de la comunidad pueden acceder (generalmente se requiere llenar una solicitud al Depositador)","C","Только абонентам разрешен доступ (обычно требуется заявление Депозитору)","C","somente membros da Comunidade podem acessar (normalmente via solicitação ao Depositante)","C","فقط اعضای جامعه اجازه دسترسی دارند (معمولاً نیازمند درخواست از سپرده گذار)"
"AILCA.C.Description","Description of AILCA choice 'C'","only Community members are allowed access (normally requires application to Depositor)","solo los Miebros de la comunidad pueden acceder (generalmente se requiere llenar una solicitud al Depositador)","seuls les membres de la Communauté sont autorisés à accéder (exige normalement une demande au Déposant)","Только абонентам разрешен доступ (обычно требуется заявление Депозитору)","仅社区成员可以访问（通常需要向存档人申请）","somente membros da Comunidade podem acessar (normalmente via solicitação ao Depositante)","hanya anggota masyarakat bahasanya boleh akses (biasanya lamaran ke depositor wajib lebih terdahulu)","فقط اعضای جامعه اجازه دسترسی دارند (معمولاً نیازمند درخواست از سپرده گذار)"
"AILCA.S","AILCA choice","S","solo los Suscriptores pueden acceder (se requiere llenar una solicitud al Depositador)","S","Только абонентам разрешен доступ (требуется заявление Депозитору)","S","somente Assinantes podem acessar (requer o envio de uma solicitação ao Depositante)","S","فقط مشترکان اجازه دسترسی دارند (معمولاً نیازمند درخواست از سپرده گذار)"
"AILCA.S.Description","Description of AILCA choice 'S'","only Subscribers are allowed access (requires application to Depositor)","solo los Suscriptores pueden acceder (se requiere llenar una solicitud al Depositador)","seuls les Souscripteurs (abonnées) sont autorisés à accéder (exige une demande au Déposant)","Только абонентам разрешен доступ (требуется заявление Депозитору)","仅订阅者可以访问（需要向存档人申请）","somente Assinantes podem acessar (requer o envio de uma solicitação ao Depositante)","hanya Pelanggan yang diizinkan mengakses (memerlukan permohonan kepada Depositor)","فقط مشترکان اجازه دسترسی دارند (معمولاً نیازمند درخواست از سپرده گذار)"
"AILCA.Unspecified","AILCA choice","Unspecified","No especificado","Non spécifié","Не указано","未指定","Não especificado","Tidak ditentukan",""
"AILCA.Unspecified.Description","Description of AILCA choice 'Unspecified'","only the Depositor and delegate can access","solo el Depositador y el delegado pueden acceder","seuls le Déposant et son délégué peuvent accéder","Доступ разрешен только Депозитору и делегату","仅存档人和代表可以访问","só o Depositário e seu procurador podem acessar","hanya Depositor yang diizinkan mengakses","فقط سپرده گذاران و نمایندگان قادر به دسترسی هستند"
"AILLA","Access Protocol Name","AILLA","AILLA","AILLA","","AILLA","AILLA - Arquivo de Línguas Indígenas da América Latina","AILLA","ALLA"
"AILLA.Public","AILLA choice","Public","Acceso público","Accès public","Открытый доступ","公开访问","Acesso público","Akses publik","دسترسی عمومی"
"AILLA.Public.Description","Description of AILLA choice 'Public'","Visible to all visitors (no login required)","Visible para todos los visitantes (no se requiere inicio de sesión)","Visible pour tous les visiteurs (sans connexion requise)","Доступно всем посетителям (вход не требуется)","所有访问者可见（无需登录）","Visível para todos os visitantes (não requer login)","Terlihat untuk semua pengunjung (tanpa login)","برای همه بازدیدکنندگان قابل مشاهده است (نیازی به ورود نیست)"
"AILLA.Login Required","AILLA choice","Login Required","Inicio de sesión requerido","Connexion requise","Требуется вход","需要登录","Login obrigatório","Login wajib","ورود الزامی"
"AILLA.Login Required.Description","Description of AILLA choice 'Login Required'","Visible only to verified, logged in AILLA users","Visible solo para usuarios de AILLA verificados y con sesión iniciada","Visible uniquement aux utilisateurs AILLA vérifiés et connectés","Доступно только подтвержденным пользователям AILLA, вошедшим в систему","仅对已验证且已登录的 AILLA 用户可见","Visível apenas para usuários AILLA verificados e logados","Hanya terlihat untuk pengguna AILLA yang terverifikasi dan sudah login","فقط برای کاربران AILLA تأییدشده و واردشده قابل مشاهده است"
"AILLA.Embargoed","AILLA choice","Embargoed","Embargado","Sous embargo","Эмбарго","禁运期","Embargado","Dalam embargo","تحت دوره عدم انتشار"
"AILLA.Embargoed.Description","Description of AILLA choice 'Embargoed'","Owners, Editors, and Viewers only until embargo date; then verified AILLA users can access","Solo Propietarios, Editores y Visualizadores hasta la fecha de embargo; después pueden acceder los usuarios AILLA verificados","Réservé aux Propriétaires, Éditeurs et Lecteurs jusqu'à la date d'embargo ; ensuite les utilisateurs AILLA vérifiés peuvent y accéder","Доступ только для Владельцев, Редакторов и Просмотрщиков до даты эмбарго; затем доступ получают подтвержденные пользователи AILLA","在禁运日期之前仅限所有者、编辑和查看者；之后已验证的 AILLA 用户可以访问","Somente Proprietários, Editores e Visualizadores até a data de embargo; depois, usuários AILLA verificados podem acessar","Hanya Pemilik, Editor, dan Peninjau hingga tanggal embargo; setelah itu pengguna AILLA terverifikasi dapat mengakses","تا تاریخ عدم انتشار فقط مالکان، ویرایشگران و بینندگان دسترسی دارند؛ سپس کاربران تأییدشده AILLA می‌توانند دسترسی داشته باشند"
"AILLA.Restricted","AILLA choice","Restricted","Restringido","Restreint","Ограниченный доступ","受限访问","Restrito","Terbatas","محدود"
