"ID","Context","en","es-ES","fr","ru","zh-CN","pt-BR","id","fa"
"role.label.annotator","Contributor Role","Annotator","Anotador","Annotateur","","","Anotador","Anotator","پیاده کننده متن"
"role.description.annotator","Description of contributor role 'Annotator'","The participant produced an annotation of this or a related resource.","El participante hizo una anotación de esto o de un material relacionado.","Le participant a produit une annotation de cette ressource ou d'une ressource reliée.","","","O participante produziu uma anotação deste ou de um material relacionado.","Partisipannya telah buat anotasi tentang sumber ini atau sumber terkait.","شرکت کنندگان حاشیه‌ هایی برای این منبع یا منابع مرتبط نوشته اند."
"role.label.author","Contributor Role","Author","Autor","Auteur","","","Autor","Penulis","نویسنده"
"role.description.author","Description of contributor role 'Author'","The participant contributed original writings to the resource.","El participante contribuyó con los escritos originales al material.","Le participant a contribué à la ressource avec des écrits originaux.","","","O participante contribuiu com informações originais para o material.","Peserta menyumbangkan tulisan asli ke sumber ini.","شرکت کننده نوشته های اصلی را به منبع ارائه داد."
"role.label.careful_speech_speaker","Contributor Role","Careful Speech Speaker","Hablante para Habla Lenta","Enregistreur de discours soigneux","","","Falante para Fala Lenta","Pembicara dengan Ucapan yang Hati-hati","سخنران دقیق"
"role.description.careful_speech_speaker","Description of contributor role 'Careful Speech Speaker'","The participant carefully re-speaks the words recorded in an source recording.","El participante reformula lentamente las palabras grabadas de una grabación escuchada.","Le participant répète avec soin les mots enregistrés dans un enregistrement source.","","","O participante repete cuidadosamente as palavras gravadas em uma gravação original.","Peserta dengan hati-hati mengucapkan kembali kata-kata yang direkam dalam rekaman sumber.","شرکت‌کننده به دقت کلمات ضبط‌شده منبع را به دقت بازگویی میکند."
"role.label.compiler","Contributor Role","Compiler","Compilador","Compilateur","","","Compilador","Penyusun","جمع کننده"
"role.description.compiler","Description of contributor role 'Compiler'","The participant is responsible for collecting the sub-parts of the  resource together.","El participante es responsable de recolectar y unir las sub-partes del material.","Le participant est responsable de la collecte des sous-parties de la ressource.","","","O participante é responsável por coletar e unir as subpartes do material.","Peserta bertanggung jawab untuk mengumpulkan sub-bagian sumber ini.","شرکت کننده مسئول جمع‌آوری قسمت‌های فرعی منابع است."
"role.label.consultant","Contributor Role","Consultant","Consultante","Consultant","","","Consultor","Konsultan","مشاور"
"role.description.consultant","Description of contributor role 'Consultant'","The participant contributes expertise to the creation of a work.","El participante contribuye con su experiencia a la creación de un trabajo.","Le participant apporte son expertise à la création d'une œuvre.","","","O participante contribui com expertise para a criação de um trabalho.","Peserta menyumbangkan keahliannya dalam penciptaan suatu karya.","شرکت کننده در ایجاد یک کار به متخصصان کمک می کند."
"role.label.data_inputter","Contributor Role","Data Inputter","Encargado de ingresar los datos","Saisie de données","","","Quem entra os dados","Penginput Data","واردکننده داده"
"role.description.data_inputter","Description of contributor role 'Data Inputter'","The participant was responsible for entering, re-typing, and/or structuring the data  contained in the resource.","El participante fue responsable de introducir, reescribir y/o estructurar los datos en este material.","Le participant était responsable de la saisie, de la re-saisie et/ou de la structuration des données contenues dans la ressource.","","","O participante era responsável por entrar, redigitar e/ou estruturar os dados contidos nesse material.","Peserta bertanggung jawab untuk memasukkan, mengetik ulang, dan/atau menyusun data yang terdapat dalam sumber ini.","شرکت کننده مسئول وارد کردن، تایپ یا ساختاربندی اطلاعات موجود در منابع بوده است."
"role.label.depositor","Contributor Role","Depositor","Depositante","Déposant","","上传者","Depositante","Penabung/Depositor","سپرده گذار"
"role.description.depositor","Description of contributor role 'Depositor'","The participant was responsible for depositing the resource in an archive.","El participante fue responsable de depositar el material en un archivo.","Le participant était responsable du dépôt de la ressource dans une archive.","","","O participante foi responsável por depositar o material em um acervo.","Peserta bertanggung jawab untuk menyimpan sumber ini dalam arsip.","شرکت کننده مسئول ذخیره منبع در یک آرشیو بوده است."
"role.label.developer","Contributor Role","Developer","Desarrollador","Développeur","","","Desenvolvedor","Pengembang","توسعه دهنده"
"role.description.developer","Description of contributor role 'Developer'","The participant developed the methodology or tools that constitute the resource, or that were used to create the resource.","El participante desarrolló la metodología y herramientas que constituyen el material o que fueron usadas para crear el material.","Le participant a développé la méthodologie ou les outils qui constituent la ressource, ou qui ont été utilisés pour créer la ressource.","","","O participante desenvolveu a metodologia ou ferramentas que constituem o material, ou que foram utilizadas para criar o material.","Peserta mengembangkan metodologi atau alat yang membentuk sumber ini, atau yang digunakan untuk membuat sumber ini.","شرکت‌کننده روش یا ابزارهایی را توسعه میدهد که منجر به تشکیل منبع می شود یا برای ایجاد منبع مورد استفاده قرار می‌گرفته است."
"role.label.editor","Contributor Role","Editor","Editor","Éditeur/éditrice","","","Editor","Penyunting","ویراستار"
"role.description.editor","Description of contributor role 'Editor'","The participant reviewed, corrected, and/or tested the resource.","El participante revisó, corrigió y/o probó el material.","Le participant a revu, corrigé et/ou testé la ressource.","","","O participante revisou, corrigiu e/ou testou o material.","Peserta meninjau, mengoreksi, dan/atau menguji sumber ini.","شرکت کننده به بررسی، اصلاح یا بررسی منبع آزمایش شده می پردازد."
"role.label.illustrator","Contributor Role","Illustrator","Ilustrador","Illustrateur/Illustratrice","","","Ilustrador","Ilustrator","تصویرگر"
