"Context","en","es-ES","fr","ru","zh-CN","pt-BR","id","fa"
"Genre which is: A planned, creative, rendition of discourse involving two or more participants.","Drama","Drama","Drame","Драма","戏剧","Drama","Drama","نمایش"
"Definition of genre 'Drama'","A planned, creative, rendition of discourse involving two or more participants.","Una interpretación planeada y creativa que involucra a dos o más participantes.","Une interprétation planifié et créative d’une performance impliquant deux participants ou plus.","","由两名或两名以上参与者参与计划的创意话语演绎。","Uma versão planejada, criativa de discurso, envolvendo dois ou mais participantes.","Percakapan yang melibatkan dua orang atau lebih yang direncanakan secara kreatif.","بازگردانی برنامه ریزی شده و خلاق از یک گفتمان بین دو نفر یا بیشتر."
"Example of genre 'Drama'","Play","Reproducir","Pièce de théâtre","Играть","表演","Peça","Pertunjukan Drama","نمایش"
"Example of genre 'Drama'","Skit","Comedia","Sketch","","小品","Esquete","Drama Komedi","هجو ادبی"
"Example of genre 'Drama'","Enacted Scene","Escena Actuada","Scène jouée","","上演的场景","Cena representada","Adegan yang diperankan","صحنه تایید شده"
"Genre which is: A ritually or conventionally structured discourse.","Formulaic Discourse","Discurso de fórmula","Discours formulé","Шаблонная речь","公式化话语","Discurso Formulado","Percakapan yang direncanakan","گفتمان الگوبرداری شده"
"Definition of genre 'Formulaic Discourse'","A ritually or conventionally structured discourse.","Un discurso estructurado convencionalmente o a manera de ritual.","Un discours rituellement ou conventionnellement structuré.","","以宗教或传统方式进行的话语。","Um discurso estruturado ritualmente ou convencionalmente.","Sebuah percakapan yang direncanakan baik ritual maupun konvensi.","یک گفتمان ساختاری آیینی یا متعارف."
"Example of genre 'Formulaic Discourse'","Prayer","Oración","Prière","","祷告","Oração","Doa","دعاکننده"
"Example of genre 'Formulaic Discourse'","Curse","Maleficio","Malédiction","","诅咒","Maldição","Sumpah","نفرین"
"Example of genre 'Formulaic Discourse'","Blessing","Bendición","Bénédiction","","祝福","Benção","Kutukan","برکت و نعمت"
"Example of genre 'Formulaic Discourse'","Charm","Encantamiento","Sortilège","","护符","Feitiço","Mantera","طلسم و افسون"
"Example of genre 'Formulaic Discourse'","Curing Ritual","Ritual de Sanación","Rituel de Guérison","","治疗仪式","Ritual de Cura","Ritual Penyembuhan","آداب درمان"
"Example of genre 'Formulaic Discourse'","Marriage Vows","Votos Matrimoniales","Vœux de Mariage","","婚姻誓言","Votos de Casamento","Ikrar Pernikahan","سوگند ازدواج"
"Example of genre 'Formulaic Discourse'","Oath","Juramento","Serment","","誓言","Juramento","Sumpah","سوگند"
"Genre which is: Linguistic communication between two or more participants.","Interactive Discourse","Discurso interactivo","Discours interactif","Интерактивные дискуссии","互动对话","Discurso Interativo","Wacana Interaktif","گفتمان تعاملی"
"Definition of genre 'Interactive Discourse'","Linguistic communication between two or more participants.","Comunicación lingüística entre dos o más participantes.","Communication linguistique entre deux ou plusieurs participants. ","","两个或多个参与者之间的语言交流。","Comunicação linguística entre dois ou mais participantes.","Komunikasi Linguistik antara Dua atau Lebih Peserta.","ارتباط زبانی میان دو نفر یا تعداد بیشتر."
"Example of genre 'Interactive Discourse'","Conversation","Conversación","Conversation","","对话","Conversa","Percakapan","مکالمه"
"Example of genre 'Interactive Discourse'","Interview","Entrevista","Interview","","面谈","Entrevista","Wawancara","مصاحبه"
"Example of genre 'Interactive Discourse'","Correspondence","Correspondencia","Correspondance","","一致性","Correspondência","Koresponden","مکاتبه"
"Example of genre 'Interactive Discourse'","Consultation","Consulta","Consultation","","咨询","Consulta","Konsultasi","مکاتبه"
"Example of genre 'Interactive Discourse'","Greeting","Saludo","Salutation","","问候","Saudações","Sapaan","احوالپرسی"
"Example of genre 'Interactive Discourse'","Leave-Takings","Fórmulas de Despedida","Aurevoirs","","休假","Despedidas","Pamitan","خداحافظی"
"Genre which is: A language whose primary function is to be part of play, or a style of speech that involves a creative manipulation of the structures of the language.","Language Play","Lenguaje de Juego","Jeu linguistique","Языковые игры","语言戏剧","Jogo de Palavras","Permainan Bahasa","بازی زبانی"
"Definition of genre 'Language Play'","A language whose primary function is to be part of play, or a style of speech that involves a creative manipulation of the structures of the language.","Un lenguaje cuya función principal es la de ser parte de un juego, o un estilo de habla que consiste en la manipulación creativa de estructuras de la lengua.","Un langage dont la fonction principale est de faire partie de la pièce ou un style de discours qui implique une manipulation créative des structures de la langue.","","一种以戏剧为主要功能的语言，或一种对语言结构进行创意更改的语言风格。","Uma linguagem cuja função primária é fazer parte do jogo, ou um estilo de fala que envolve uma manipulação criativa das estruturas da linguagem.","Sebuah bahasa yang fungsi utamanya adalah menjadi bagian dari permainan, atau gaya bicara yang melibatkan manipulasi kreatif terhadap struktur bahasa.","زبانی که کارکرد اصلی اش بخشی از یک بازی یا سبک گفتاری است و شامل تغییرات خلاقی در ساختار زبان می شود."
"Example of genre 'Language Play'","Verbal Art","Arte Verbal","Art verbal","","语言艺术","Arte Verbal","Seni Lisan","هنر کلامی"
"Example of genre 'Language Play'","Joke","Chiste","Plaisanterie","","笑话","Piadas","Lelucon","جوک"
"Example of genre 'Language Play'","Secret Language","Lengua Secreta","Langue Secrète","","秘密语言","Linguagem secreta","Bahasa Rahasia","زبان مخفی"
"Example of genre 'Language Play'","Speech Disguise","Disfraz del Discurso","Déguisement de la Parole","","语音伪装","Disfarce da Fala","Penyamaran Bicara","پنهان ‌سازی گفتار"
